[Jan/20/2020 | 13:16:36.476] [LOG]    |2337271|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:37.991] [LOG]    |2337270|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:40.969] [LOG]    |2337269|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:44.035] [LOG]    |2337266|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:47.055] [LOG]    |2337267|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:50.036] [LOG]    |2337268|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:53.051] [LOG]    |2337264|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:56.047] [LOG]    |2337265|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:16:59.199] [LOG]    |2337263|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:01.917] [LOG]    |2337548|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:08.061] [LOG]    |2337546|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:10.966] [LOG]    |2337543|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:16.054] [LOG]    |2337473 archive downloaded
[Jan/20/2020 | 13:17:16.055] [LOG]    |2337473 Extracting . . .
[Jan/20/2020 | 13:17:16.087] [LOG]    |2337546 starting download. . .
[Jan/20/2020 | 13:17:22.354] [LOG]    94289|2337473|2019-10-31 imported to Map table.
[Jan/20/2020 | 13:17:24.245] [LOG]    |2337512|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:30.257] [LOG]    |2337509|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:35.834] [LOG]    |2337511|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:42.140] [LOG]    |2337510|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:47.965] [LOG]    |2337547|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:54.036] [LOG]    |2337508|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:17:59.924] [LOG]    |2337513|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:18:06.325] [LOG]    |2337544|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:18:11.909] [LOG]    |2337506|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:17.892] [LOG]    |2337507|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:23.951] [LOG]    |2337503|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:29.974] [LOG]    |2337504|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:35.925] [LOG]    |2337502|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:41.950] [LOG]    |2337545|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:47.952] [LOG]    |2337505|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:18:52.500] [LOG]    |2337415 archive downloaded
[Jan/20/2020 | 13:18:52.500] [LOG]    |2337415 Extracting . . .
[Jan/20/2020 | 13:19:00.775] [LOG]    |2337545 starting download. . .
[Jan/20/2020 | 13:19:01.152] [LOG]    			 94339/2337539 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 13:19:01.292] [LOG]    Starting 2019-11-05
[Jan/20/2020 | 13:19:01.293] [LOG]    0 results for 2019-11-05
[Jan/20/2020 | 13:19:04.727] [LOG]    94339|2337539|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:19:06.875] [LOG]    94305|2337415|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:19:17.976] [LOG]    |2337562|2019-11-03 imported to Match table.
[Jan/20/2020 | 13:19:23.783] [LOG]    |2337561|2019-11-03 imported to Match table.
[Jan/20/2020 | 13:19:32.860] [LOG]    |2337592|2019-11-03 imported to Match table.
[Jan/20/2020 | 13:19:41.818] [LOG]    |2337560|2019-11-03 imported to Match table.
[Jan/20/2020 | 13:19:48.340] [LOG]    |2337558|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:19:53.855] [LOG]    |2337563|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:20:02.879] [LOG]    |2337559|2019-11-02 imported to Match table.
[Jan/20/2020 | 13:20:08.139] [LOG]    			 94295/2337417 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 13:20:09.883] [LOG]    94295|2337417|2019-10-31 imported to Map table.
